profile_x, profile_y
8005.0, 13965.0
6593.0, 12768.0
10991.0, 23867.0
9323.0, 15982.0
8383.0, 22105.0
7225.0, 19320.0
12616.0, 20424.0
10509.0, 12066.0
11791.0, 14141.0
9301.0, 19400.0
14578.0, 9723.0
10918.0, 39534.0
15022.0, 15849.0
15009.0, 9675.0
4512.0, 10817.0
6263.0, 12476.0
10161.0, 18975.0
6291.0, 18284.0
10094.0, 11955.0
14655.0, 9655.0
17523.0, 15398.0
14344.0, 16567.0
10035.0, 16528.0
12186.0, 10198.0
4776.0, 10974.0
7341.0, 9240.0
5786.0, 11434.0
8558.0, 22970.0
6695.0, 17085.0
5188.0, 14512.0
5747.0, 17859.0
13998.0, 6338.0
6674.0, 13652.0
7950.0, 15313.0
11659.0, 15683.0
10097.0, 18586.0
15049.0, 10938.0
11002.0, 17538.0
7931.0, 12613.0
13928.0, 12240.0
12160.0, 12980.0
7266.0, 17125.0
13588.0, 14066.0
10015.0, 19660.0
17442.0, 10878.0
4495.0, 10607.0
9966.0, 17142.0
7006.0, 20749.0
10115.0, 11651.0
5194.0, 9904.0
8539.0, 15705.0
14493.0, 6509.0
11862.0, 11150.0
7506.0, 9710.0
5663.0, 14406.0
9400.0, 10919.0
5149.0, 13008.0
12033.0, 20426.0
9616.0, 15242.0
10373.0, 11796.0
15873.0, 22712.0
5605.0, 7534.0
10170.0, 11604.0
9447.0, 15547.0
9299.0, 10129.0
9061.0, 18122.0
13818.0, 8871.0
11891.0, 15459.0
10326.0, 14497.0
11029.0, 14728.0
8995.0, 13217.0
5523.0, 21125.0
7362.0, 9902.0
4076.0, 11330.0
15612.0, 11937.0
7535.0, 19695.0
14819.0, 19386.0
8147.0, 21499.0
11483.0, 9691.0
10672.0, 19769.0
10059.0, 16666.0
6782.0, 15966.0
11212.0, 10380.0
14655.0, 11994.0
7451.0, 16248.0
9599.0, 16088.0
10746.0, 23297.0
10845.0, 13146.0
10286.0, 19934.0
7561.0, 8377.0
8690.0, 19259.0
4421.0, 23036.0
16384.0, 11413.0
13577.0, 10826.0
15272.0, 14062.0
9100.0, 10686.0
10573.0, 13344.0
8024.0, 15071.0
19558.0, 16743.0
4255.0, 15997.0
9776.0, 8347.0
9871.0, 14309.0
22837.0, 10797.0
8382.0, 17969.0
8203.0, 19781.0
6480.0, 22112.0
12219.0, 23659.0
8859.0, 13767.0
13243.0, 13859.0
19652.0, 30937.0
9218.0, 14690.0
8297.0, 5868.0
9250.0, 10498.0
4690.0, 14072.0
12532.0, 13357.0
7115.0, 9500.0
10046.0, 10923.0
10303.0, 13254.0
5278.0, 14350.0
9827.0, 12117.0
11286.0, 12066.0
7633.0, 23690.0
5066.0, 19185.0
13962.0, 17649.0
16838.0, 15539.0
8584.0, 10820.0
7402.0, 11378.0
15625.0, 17150.0
16237.0, 15760.0
15030.0, 13317.0
18764.0, 11915.0
8858.0, 11663.0
10134.0, 16526.0
8097.0, 8709.0
6018.0, 19587.0
11408.0, 20614.0
9678.0, 16072.0
5840.0, 11864.0
11864.0, 9908.0
11600.0, 12408.0
7194.0, 29479.0
10396.0, 16478.0
5550.0, 11333.0
10314.0, 16985.0
19509.0, 19120.0
7151.0, 18879.0
18525.0, 16095.0
8107.0, 19129.0
8179.0, 16114.0
13558.0, 18285.0
7010.0, 9428.0
9305.0, 14264.0
5602.0, 14190.0
8632.0, 12282.0
15839.0, 9296.0
4616.0, 9657.0
11696.0, 20105.0
9064.0, 10380.0
6742.0, 17136.0
8916.0, 7670.0
7850.0, 11842.0
15281.0, 21513.0
5201.0, 11859.0
5949.0, 7605.0
10205.0, 19023.0
7458.0, 11014.0
12837.0, 16774.0
13219.0, 12568.0
5282.0, 13972.0
11676.0, 13704.0
9601.0, 12579.0
13282.0, 17877.0
7065.0, 15588.0
13407.0, 17776.0
6264.0, 15063.0
10478.0, 24970.0
6686.0, 7422.0
18021.0, 15775.0
8319.0, 15884.0
13269.0, 25740.0
15263.0, 19744.0
7487.0, 14795.0
8814.0, 9202.0
10194.0, 19834.0
8216.0, 15330.0
8333.0, 8860.0
9968.0, 17189.0
17172.0, 11979.0
6809.0, 12741.0
14017.0, 9942.0
12268.0, 11709.0
14721.0, 8938.0
5853.0, 10047.0
13158.0, 16147.0
6278.0, 16114.0
11913.0, 19333.0
5375.0, 13883.0
9510.0, 15333.0
8282.0, 9774.0
6929.0, 17290.0
6847.0, 10000.0
11250.0, 18252.0
5812.0, 18548.0
13173.0, 17105.0
6343.0, 14247.0
16185.0, 20896.0
8189.0, 11977.0
15804.0, 14210.0
8243.0, 13128.0
7785.0, 11694.0
12231.0, 24378.0
12251.0, 16355.0
8789.0, 9033.0
9500.0, 15527.0
11812.0, 10840.0
6492.0, 12453.0
10804.0, 9739.0
9887.0, 13914.0
12831.0, 13464.0
9480.0, 16062.0
9262.0, 15146.0
7554.0, 6530.0
6571.0, 10872.0
7814.0, 10893.0
9878.0, 14131.0
9698.0, 16435.0
15579.0, 7560.0
11603.0, 8329.0
10795.0, 26294.0
9520.0, 9702.0
9564.0, 18900.0
6022.0, 8609.0
19121.0, 16904.0
9165.0, 12208.0
14489.0, 23848.0
7996.0, 12817.0
8362.0, 14358.0
17528.0, 17287.0
10800.0, 11160.0
13298.0, 11945.0
7171.0, 6789.0
7255.0, 14017.0
10509.0, 21517.0
16824.0, 12739.0
7183.0, 7725.0
10339.0, 12910.0
8593.0, 18476.0
17020.0, 8664.0
8745.0, 22251.0
10927.0, 13050.0
15319.0, 21662.0
7133.0, 15984.0
10112.0, 14782.0
13573.0, 20345.0
9863.0, 19127.0
10810.0, 14304.0
11941.0, 13842.0
10356.0, 16026.0
7937.0, 17982.0
8690.0, 12802.0
8905.0, 11558.0
25278.0, 14010.0
13117.0, 20143.0
12043.0, 28427.0
10505.0, 9629.0
8669.0, 19236.0
14142.0, 18578.0
21761.0, 19856.0
17096.0, 11497.0
12448.0, 12408.0
12102.0, 21443.0
11285.0, 15536.0
12633.0, 22182.0
11900.0, 17962.0
16000.0, 28045.0
17560.0, 21767.0
9559.0, 13505.0
19936.0, 17031.0
14427.0, 12112.0
13831.0, 12788.0
9154.0, 13801.0
11490.0, 9748.0
17439.0, 17999.0
14847.0, 17426.0
10345.0, 29030.0
14575.0, 16967.0
14186.0, 18520.0
17549.0, 11210.0
13507.0, 12184.0
25121.0, 15532.0
11254.0, 20597.0
15033.0, 10324.0
11561.0, 16080.0
12277.0, 10739.0
16834.0, 9845.0
12867.0, 21334.0
13177.0, 11045.0
12473.0, 13181.0
12223.0, 18022.0
12088.0, 22200.0
11732.0, 13860.0
12499.0, 14725.0
9350.0, 15647.0
13602.0, 10856.0
18775.0, 16574.0
13751.0, 17418.0
12330.0, 8834.0
19928.0, 25780.0
11877.0, 23642.0
10643.0, 16403.0
16289.0, 14614.0
12214.0, 20766.0
11390.0, 25030.0
10724.0, 15869.0
22125.0, 18542.0
11203.0, 19941.0
12205.0, 23938.0
13973.0, 13405.0
12889.0, 21213.0
14231.0, 12815.0
13287.0, 15469.0
9862.0, 10274.0
19901.0, 11086.0
11244.0, 12551.0
11906.0, 23016.0
18674.0, 18621.0
8604.0, 16270.0
13184.0, 31720.0
10562.0, 10524.0
12183.0, 9044.0
14539.0, 21135.0
16294.0, 21329.0
10514.0, 20836.0
7676.0, 15196.0
9722.0, 12461.0
15149.0, 16475.0
8389.0, 17609.0
11641.0, 18943.0
10956.0, 10957.0
12659.0, 13553.0
13989.0, 14010.0
8783.0, 17688.0
12672.0, 10334.0
12916.0, 8500.0
12679.0, 10626.0
18709.0, 14600.0
23465.0, 12475.0
10070.0, 13491.0
14447.0, 13131.0
15520.0, 8462.0
18582.0, 12615.0
10715.0, 14682.0
16286.0, 12269.0
11257.0, 13093.0
7087.0, 13215.0
9896.0, 9578.0
17896.0, 15769.0
10296.0, 14906.0
10571.0, 19195.0
10163.0, 11161.0
12878.0, 17260.0
9287.0, 9822.0
8223.0, 17156.0
7844.0, 19783.0
20577.0, 11401.0
13208.0, 15148.0
8622.0, 27094.0
11478.0, 14110.0
17713.0, 19133.0
11370.0, 18814.0
16142.0, 13973.0
12209.0, 15617.0
11181.0, 10703.0
8088.0, 18477.0
8826.0, 14363.0
9368.0, 14316.0
10399.0, 20387.0
8511.0, 11929.0
12828.0, 16116.0
12522.0, 11918.0
11042.0, 13516.0
16770.0, 11610.0
7795.0, 15881.0
7189.0, 17617.0
13457.0, 18443.0
14629.0, 25080.0
16494.0, 16467.0
12017.0, 18736.0
8632.0, 12809.0
11119.0, 11588.0
8878.0, 18599.0
6662.0, 15859.0
7707.0, 18742.0
14682.0, 15147.0
8970.0, 16782.0
10114.0, 12811.0
9789.0, 12473.0
8310.0, 19724.0
7493.0, 13785.0
14154.0, 10178.0
12728.0, 15145.0
8809.0, 18239.0
9882.0, 16371.0
16732.0, 13989.0
11887.0, 13400.0
12017.0, 18361.0
8404.0, 16873.0
12603.0, 15276.0
13862.0, 10902.0
10895.0, 9858.0
14080.0, 13595.0
14098.0, 13737.0
10353.0, 14552.0
16080.0, 23941.0
12240.0, 14239.0
11015.0, 15199.0
9698.0, 23670.0
9713.0, 16091.0
9425.0, 12756.0
11287.0, 14486.0
13862.0, 14486.0
11970.0, 15557.0
14655.0, 11916.0
10286.0, 18022.0
10378.0, 10703.0
11741.0, 17155.0
20322.0, 18984.0
10156.0, 24000.0
23242.0, 11192.0
16410.0, 26541.0
12818.0, 14124.0
11549.0, 17982.0
11362.0, 13890.0
16280.0, 16573.0
13396.0, 13485.0
13265.0, 20627.0
11699.0, 24800.0
11730.0, 9196.0
6802.0, 14607.0
17312.0, 14536.0
11231.0, 12976.0
15034.0, 10260.0
9661.0, 14440.0
16797.0, 18498.0
19382.0, 13149.0
11378.0, 17154.0
10637.0, 18088.0
18046.0, 15873.0
13179.0, 12544.0
14095.0, 9730.0
13628.0, 17446.0
8316.0, 14584.0
8291.0, 14581.0
13742.0, 15498.0
8706.0, 13452.0
9988.0, 23456.0
8284.0, 21968.0
10225.0, 15825.0
13874.0, 13021.0
9724.0, 9179.0
12993.0, 8641.0
11480.0, 16988.0
13235.0, 9963.0
12640.0, 14870.0
12938.0, 19725.0
21059.0, 11892.0
13882.0, 18643.0
8981.0, 9168.0
13509.0, 16558.0
14213.0, 20297.0
14117.0, 12070.0
16136.0, 21094.0
9300.0, 10323.0
9412.0, 23300.0
