STR, Positions
-8.7846054387, 0.006468
-7.7820306939, 0.007364
-5.5686723645, 0.008148
-3.3411261708, 0.00896
-1.1179573581, 0.009856
1.1024562795, 0.010724
3.3285090138, 0.011396
5.5351725252, 0.012404
7.7730441882, 0.013328
9.984548568, 0.014056
