X alpha, Y alpha
-9.69805717703, 0.0
X beta, Y beta
6.4373470597, 0.0
X eps, Y eps
7.0829761732e-06, 0.0
X gamma, Y gamma
14.7657586468, 0.0
k, X sigma2, Y sigma2
-17.966747191, 1.10461059485e-06, 9.50221744435e-07
-17.281030655, 1.17866036793e-06, 2.9090278234e-06
-16.5625578628, 8.20911207781e-07, 2.36398059788e-06
-15.814321316, 4.8801220665e-07, 1.70321775532e-06
-15.0391321155, 2.40426062065e-07, 1.09164750762e-06
-14.2396255729, 8.03748554504e-08, 6.84576392385e-07
-13.4182668216, 2.58364402994e-08, 7.61079267762e-08
-12.5773564276, 4.34846095907e-08, 9.11398677682e-08
-11.7190360014, 1.06281366541e-07, 1.5381766223e-08
-10.8452938082, 2.40768027158e-07, 1.53928653434e-07
X sigma11, Y sigma11
4.6598678511e-07, -4.42472042154e-09
X sigma12, Y sigma12
7.02023122853e-07, -2.76341667236e-07
X sigma22, Y sigma22
1.06886398041e-06, -7.22654373479e-07
