X alpha, Y alpha
-11.103436177, -7.11357789868
X beta, Y beta
8.64004431123, 6.87407290352
X eps, Y eps
1.29140440894e-05, 2.47713242771e-05
X gamma, Y gamma
14.3849140653, 7.50690183895
k, X sigma2, Y sigma2
-13.7433677994, 6.06850902796e-07, 2.13001698406e-06
-13.2118415269, 3.42114311906e-07, 1.58655526033e-06
-12.6509931638, 1.09713403563e-07, 1.25010786277e-06
-12.0636255066, 3.74601008837e-08, 9.08264406073e-07
-11.4523630434, 2.45987947346e-08, 5.79997381016e-07
-10.8196577537, 4.53615139617e-08, 9.97674268297e-08
-10.1677949078, 2.01399089141e-07, 4.51848174821e-08
-9.49889886631, 4.25452012196e-07, 8.27686586939e-08
-8.81493887936, 6.6744782718e-07, 3.57860833596e-07
-8.11773488636, 8.165907511e-07, 4.24127253873e-07
X sigma11, Y sigma11
8.53537629187e-07, 1.30259016883e-06
X sigma12, Y sigma12
1.09689259094e-06, 1.34797474017e-06
X sigma22, Y sigma22
1.42106510165e-06, 1.42250695781e-06
