STR, Positions
-1.695333912, 0.006944
-7.7838588942, 0.007868
-5.560561335, 0.00882
-3.3395039649, 0.009856
-1.1179316088, 0.011032
1.106447421, 0.012096
3.3294617379, 0.013216
5.5516778265, 0.014364
7.7727866952, 0.01554
9.8126204919, 0.016632
