X alpha, Y alpha
-11.4047582038, -6.50626185012
X beta, Y beta
8.7158745212, 5.95881878215
X eps, Y eps
1.39962597063e-05, 6.21150640819e-05
X gamma, Y gamma
15.0379069097, 7.27181759448
k, X sigma2, Y sigma2
-13.7433677994, 5.88171711477e-07, 3.87572001858e-06
-13.1260684886, 2.77089012878e-07, 2.66396785352e-06
-12.4701626979, 7.49580414504e-08, 2.20097153961e-06
-11.7799179816, 2.670530411e-08, 1.3550472247e-06
-11.0592864363, 4.60800156753e-08, 6.48423951805e-07
-10.3119166856, 1.6113311794e-07, 8.8849188443e-08
-9.54116586589, 3.64127834084e-07, 6.54058032626e-08
-8.75011161132, 9.83757540662e-07, 8.67756613741e-07
-7.94156403908, 1.13694997838e-06, 1.88599878432e-06
-7.11807773464, 1.77425469477e-06, 2.80483104592e-06
X sigma11, Y sigma11
9.33184247904e-07, 2.83140212228e-06
X sigma12, Y sigma12
1.22107548485e-06, 3.09152606985e-06
X sigma22, Y sigma22
1.61006653038e-06, 3.45528879507e-06
