X alpha, Y alpha
0.0, -24.9259047809
X beta, Y beta
0.0, 22.372884468
X eps, Y eps
0.0, 1.3963681305e-05
X gamma, Y gamma
0.0, 27.814952964
k, X sigma2, Y sigma2
-13.143279808, 2.80969197909e-07, 1.94163209681e-06
-12.6150315019, 1.17551524196e-07, 1.20574565429e-06
-12.0636255066, 3.5969578491e-08, 8.72241406679e-07
-11.4912197469, 2.57125741847e-08, 5.1858142069e-07
-10.8998388891, 5.172796066e-08, 2.28472263414e-07
-10.2913785404, 1.66017568207e-07, 6.34986483277e-08
-9.66760944911, 3.35188825696e-07, 3.63362602014e-08
-9.0301817045, 3.67277519844e-07, 6.60061260957e-08
-8.38062893681, 9.9375103039e-07, 8.68738722047e-07
-7.72037251721, 1.46132388457e-06, 1.69468536935e-06
X sigma11, Y sigma11
1.05307367366e-06, 2.38982635339e-06
X sigma12, Y sigma12
1.36424498942e-06, 2.66253482928e-06
X sigma22, Y sigma22
1.76433629891e-06, 2.97113712391e-06
