X alpha, Y alpha
-17.1685584785, -82.7642920203
X beta, Y beta
13.1146556097, 76.657871725
X eps, Y eps
9.18884356022e-06, 5.98679888559e-06
X gamma, Y gamma
22.5518236262, 89.3701831195
k, X sigma2, Y sigma2
-11.8370668533, 2.49400152309e-08, 1.07538211926e-06
-11.4523630434, 2.45985691377e-08, 8.72738067175e-07
-11.0592864363, 3.3292730146e-08, 8.99534629765e-08
-10.6584023749, 9.30837805327e-08, 2.63511167505e-07
-10.2502513177, 1.85341727887e-07, 7.30482522334e-08
-9.83534939095, 2.67690798375e-07, 1.4137895412e-08
-9.41418894284, 4.24041075145e-07, 1.17464896172e-07
-8.98723909586, 5.78712408835e-07, 3.75703192054e-07
-8.5549463001, 7.91881432188e-07, 7.22232387792e-07
-8.11773488636, 1.08840842572e-06, 1.33107068712e-06
X sigma11, Y sigma11
9.21854087995e-07, 3.510717341e-06
X sigma12, Y sigma12
1.20681063151e-06, 3.79037440869e-06
X sigma22, Y sigma22
1.58521057817e-06, 4.09290585018e-06
