X alpha, Y alpha
-14.0000658586, -11.8604668599
X beta, Y beta
8.84331767278, 8.07063171213
X eps, Y eps
5.37915457977e-06, 7.66122605123e-06
X gamma, Y gamma
22.2769158969, 17.5538519396
k, X sigma2, Y sigma2
-13.4182668216, 3.53219171871e-08, 1.17492662188e-07
-12.8596968897, 3.35784483852e-08, 4.27047624403e-08
-12.2930827796, 8.17599061913e-08, 3.0993271547e-08
-11.7190360014, 1.00144071425e-07, 2.42534827357e-08
-11.1381381443, 2.26563318778e-07, 1.60106637504e-07
-10.5509416157, 3.94514080963e-07, 3.53910317938e-07
-9.95797037978, 4.75386597982e-07, 2.96293403291e-07
-9.35972069676, 8.49088477687e-07, 8.25394790286e-07
-8.75666186151, 1.00303729453e-06, 9.40841971964e-07
-8.14923694265, 1.23520765198e-06, 1.17602122679e-06
X sigma11, Y sigma11
4.86161033606e-07, 6.31912144692e-07
X sigma12, Y sigma12
7.69653057848e-07, 9.28647634757e-07
X sigma22, Y sigma22
1.22467255601e-06, 1.37442676391e-06
