X alpha, Y alpha
-10.1340713991, 0.0
X beta, Y beta
7.65914274756, 0.0
X eps, Y eps
1.48302662937e-05, 0.0
X gamma, Y gamma
13.5392963076, 0.0
k, X sigma2, Y sigma2
-13.7433677994, 5.67379759533e-07, 1.12944509288e-05
-13.1260684886, 1.97171770603e-07, 7.3115970685e-06
-12.4701626979, 5.79741483777e-08, 5.53116654867e-06
-11.7799179816, 2.08658808965e-08, 2.33884168473e-06
-11.0592864363, 5.09280574399e-08, 9.21779864048e-07
-10.3119166856, 2.54271855016e-07, 2.28412552997e-07
-9.54116586589, 4.47343214016e-07, 7.87559639651e-08
-8.75011161132, 8.33499351985e-07, 7.84634604795e-07
-7.94156403908, 1.18141611599e-06, 1.76439203419e-06
-7.11807773464, 1.73648061733e-06, 2.50441083532e-06
X sigma11, Y sigma11
8.68907509814e-07, 6.07508198301e-06
X sigma12, Y sigma12
1.14968098048e-06, 6.02941762925e-06
X sigma22, Y sigma22
1.53599386081e-06, 5.94308291957e-06
