X alpha, Y alpha
0.0, -6.39590513961
X beta, Y beta
0.0, 4.76563769892
X eps, Y eps
0.0, 1.60772802255e-05
X gamma, Y gamma
0.0, 8.79370300523
k, X sigma2, Y sigma2
-17.966747191, 1.67219945287e-06, 2.93657874484e-06
-17.0450277363, 1.08053974034e-06, 2.495226323e-06
-16.0668633864, 6.20311584342e-07, 1.79487865046e-06
-15.0391321155, 2.43110147831e-07, 1.11122909264e-06
-13.9681504052, 5.38604590164e-08, 5.20884532736e-07
-12.8596968897, 2.39674307623e-08, 3.67932463662e-08
-11.7190360014, 7.74196363396e-08, 1.52293357818e-08
-10.5509416157, 3.32286810774e-07, 2.33770032558e-07
-9.35972069676, 7.74036837182e-07, 7.32271539811e-07
-8.14923694265, 1.32832764605e-06, 1.08593833369e-06
X sigma11, Y sigma11
6.32029483541e-07, 7.83040995792e-07
X sigma12, Y sigma12
9.606994162e-07, 1.05090991928e-06
X sigma22, Y sigma22
1.45732604078e-06, 1.44489161639e-06
